sector,dep_var,model_type,feature,importance
Creative Industries,cagr_emp,regression,public_transport_to_employer,0.05300509643887571
Creative Industries,cagr_emp,regression,drive_to_employer,0.014352904310801712
Creative Industries,cagr_emp,regression,cycle_to_employer,0.024356362414904787
Creative Industries,cagr_bus,regression,new_enterprises,0.008210950029265621
Creative Industries,cagr_bus,regression,deaths_of_enterprises,0.0075973355366829145
Creative Industries,cagr_bus,regression,active_enterprises,0.010969086435473502
Creative Industries,cagr_bus,regression,high_growth_enterprises,0.061168705161098784
Creative Industries,cagr_bus,regression,broadband_availability,0.022209214068570054
Creative Industries,cagr_bus,regression,4g_area_coverage,0.022289050042028954
Creative Industries,cagr_bus,regression,gcse_by_age_19,0.014851870667244743
Creative Industries,cagr_bus,regression,early_years_comms,0.008833033131214744
Creative Industries,cagr_bus,regression,early_years_literacy,0.009466262703660223
Creative Industries,cagr_bus,regression,early_years_maths,0.00944660263748703
Creative Industries,cagr_bus,regression,apprenticeship_starts,0.01653815151251412
Creative Industries,cagr_bus,regression,apprenticeship_achievements,0.007356301965288698
Creative Industries,cagr_bus,regression,level_3+_qualifications,0.024401228310099585
Creative Industries,cagr_bus,regression,fe_and_skills_participation,0.0779814430977051
Creative Industries,cagr_bus,regression,smokers,0.03044620302145916
Creative Industries,cagr_bus,regression,reception_obesity,0.008292216947942707
Creative Industries,cagr_bus,regression,year_6_obesity,0.013437596880726864
Creative Industries,cagr_bus,regression,adult_obesity,0.020242649207034127
Creative Industries,cagr_bus,regression,cancer_diagnosis,0.021482120877313556
Creative Industries,cagr_bus,regression,under_75_mortality_rate,0.00750864392506088
Creative Industries,cagr_bus,regression,life_satisfaction,0.012745887530159079
Creative Industries,cagr_bus,regression,worthwhile,0.03568892410229697
Creative Industries,cagr_bus,regression,happiness,0.02588988705344998
Creative Industries,cagr_bus,regression,anxiety,0.020447859174919557
Creative Industries,cagr_bus,regression,net_additions,0.02201941359002448
Creative Industries,cagr_bus,regression,related_variety,0.41377759062917324
Creative Industries,cagr_bus,regression,size_large_share,0.00110885346361031
Creative Industries,cagr_bus,regression,size_micro_share,0.013134993629459241
Creative Industries,cagr_bus,regression,public_transport_to_employer,0.018314461688459
Creative Industries,cagr_bus,regression,drive_to_employer,0.013890186623165214
Creative Industries,cagr_bus,regression,cycle_to_employer,0.020253276357411604
Creative Industries,lq_emp_binary,classification,new_enterprises,0.03358681689442501
